k,k10_p,k10_En,k25_p,k25_En,k50_p,k50_En
10,0.5,1.454,0.5,1.465,0.5,1.459
10,0.6,2.207,0.6,2.359,0.6,2.34
10,0.7,3.283,0.7,3.813,0.7,3.836
10,0.8,4.492,0.8,6.633,0.8,6.719
10,0.9,5.725,0.9,11.403,0.9,15.569
10,1,6.804,1,16.381,1,32.684
10,1.1,7.662,1.1,20.077,1.1,42.871
10,1.2,8.283,1.2,21.993,1.2,46.39
10,1.3,8.788,1.3,23.005,1.3,47.777
10,1.4,9.132,1.4,23.699,1.4,48.524
10,1.5,9.4,1.5,24.105,1.5,49.013
